epoch,log_dir,log_name,test_loss,train_loss,val_loss
19,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0019498,0.00101287,0.00197016
20,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00129174,0.00100729,0.00132184
21,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00201214,0.00100643,0.00203765
22,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0013911,0.00099752,0.00141809
23,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00409471,0.00098919,0.0041149
24,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00106714,0.00095743,0.00109177
25,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00124339,0.00095896,0.00127215
26,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00133651,0.00096463,0.00136465
27,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00121546,0.00093518,0.00124205
28,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0012979,0.00094784,0.00132329
29,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0009923,0.00092781,0.00101719
30,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00108853,0.00094642,0.00111046
31,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00132844,0.00091406,0.0013525
32,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0022714,0.00093414,0.00230798
33,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00107862,0.00090197,0.00110623
34,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00115584,0.00090784,0.00118018
35,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00131868,0.00091035,0.00134381
36,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00095763,0.0008728,0.00098064
37,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0008946,0.00086674,0.00091846
38,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00090483,0.00086385,0.00092906
39,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091625,0.00086213,0.0009395
40,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00087394,0.00085993,0.00089983
41,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00090094,0.00085869,0.00092683
42,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00101306,0.00085778,0.00103676
43,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091648,0.00085585,0.00093973
44,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0010984,0.00085661,0.0011257
45,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0010091,0.00085542,0.00103234
46,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091742,0.00085394,0.0009411
47,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00089707,0.00084599,0.00091893
48,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0008605,0.00084476,0.00088256
49,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00089721,0.00084415,0.00091945
